Nro1;Nro2;Nro3;Nro4;Nro5;Star1;Star2
3;17;26;30;49;1;10
13;21;27;28;41;1;3
22;29;36;38;43;1;6
6;23;38;42;45;9;12
2;3;34;38;49;10;11
27;31;35;46;50;3;10
4;7;19;26;27;4;5
6;10;30;34;41;7;10
20;21;28;32;37;1;5
10;19;24;25;40;5;9
7;20;23;24;37;4;10
8;14;45;47;50;2;12
17;23;30;41;43;4;11
1;4;19;35;42;1;3
11;14;18;35;42;4;11
1;3;10;32;44;1;8
9;15;28;36;39;6;7
1;9;25;27;37;6;8
2;21;26;34;49;7;12
1;20;21;27;29;8;10
1;16;20;23;44;5;9
17;34;38;42;48;2;11
10;11;17;20;30;2;6
7;9;14;18;31;7;8
3;17;22;28;40;4;9
2;9;16;46;47;3;9
2;7;28;43;46;5;12
1;23;32;42;47;4;11
10;18;21;41;42;3;9
15;17;27;33;45;5;9
3;12;22;28;47;1;12
12;14;18;45;50;2;10
1;9;14;19;44;2;3
18;26;29;35;36;11;12
28;31;38;42;48;3;10
3;4;13;20;21;8;12
4;12;35;37;48;4;10
7;11;12;32;42;1;4
15;18;22;23;44;1;11
6;13;28;37;45;5;10
1;7;14;47;50;3;7
8;9;12;14;16;6;12
3;11;30;35;50;4;5
2;15;19;34;49;2;6
12;17;39;41;50;9;12
19;23;29;37;38;2;8
17;39;40;41;47;5;8
2;26;27;28;49;1;10
8;11;13;33;35;1;10
7;8;12;29;44;3;12
10;16;23;29;38;3;5
13;14;40;43;45;5;8
17;21;27;30;34;8;11
3;15;22;33;35;1;7
1;21;22;46;49;9;10
1;5;27;36;43;5;9
14;16;19;33;34;5;12
6;8;15;27;39;6;12
8;19;20;21;28;7;10
11;17;19;33;40;7;12
6;9;17;25;41;4;10
4;5;26;29;43;5;9
6;8;19;26;30;1;12
7;8;11;23;39;5;11
1;17;20;28;42;2;12
1;15;18;27;46;5;9
10;13;15;33;35;7;12
6;12;18;37;46;7;9
20;31;35;40;44;3;4
4;14;26;29;50;3;12
1;9;10;12;14;6;8
14;23;34;41;44;5;10
21;27;29;34;43;6;10
6;12;13;43;46;6;11
13;28;33;37;45;6;11
10;12;21;25;39;2;4
5;20;42;46;48;7;8
7;8;13;29;36;4;8
20;21;38;43;49;6;11
4;11;12;20;33;3;5
1;18;21;22;34;1;6
7;16;23;41;42;1;4
11;16;29;37;42;1;11
5;11;20;33;43;6;12
3;4;11;33;47;6;9
3;14;16;22;34;7;10
8;14;21;26;35;4;8
3;5;19;23;48;1;5
1;5;12;38;47;7;8
6;14;25;29;46;7;11
14;18;24;27;50;8;9
7;22;24;33;45;4;12
8;9;14;37;39;1;9
9;37;40;41;46;1;12
7;18;31;32;33;10;11
12;24;26;35;48;1;2
8;11;13;24;27;3;7
1;2;7;21;27;8;12
10;22;38;42;48;2;9
4;5;24;31;41;3;12
8;12;13;49;50;2;4
18;21;34;35;46;2;3
6;21;30;40;46;3;4
12;13;27;42;43;3;4
3;4;22;45;50;9;12
5;11;40;41;47;1;5
3;21;22;33;39;1;9
13;19;22;35;40;2;8
8;24;25;41;50;8;9
3;5;20;30;37;6;12
19;25;27;41;49;3;9
15;24;30;45;50;5;6
1;23;30;35;46;4;8
12;16;35;46;50;3;5
14;30;34;35;40;4;6
1;4;18;22;24;6;10
2;30;32;33;37;2;9
2;25;27;37;50;2;11
12;22;28;30;31;4;11
8;9;15;35;45;2;5
24;29;35;40;41;6;7
15;21;26;29;42;4;12
10;18;20;23;27;1;6
10;15;29;34;38;2;9
21;23;30;33;38;8;12
1;17;19;25;41;6;12
2;16;27;33;47;6;12
8;16;37;39;48;5;11
16;26;32;37;45;2;3
18;36;39;45;50;6;9
13;18;19;29;32;8;9
8;13;15;17;37;3;7
3;20;27;37;44;1;2
12;19;34;39;47;4;5
1;21;44;45;46;2;7
8;23;39;40;44;6;7
11;17;23;36;40;5;6
4;5;26;38;48;2;9
7;17;19;28;47;2;7
1;9;14;35;49;2;10
8;17;26;31;47;1;6
2;3;17;18;28;4;10
7;23;37;44;47;2;6
12;13;16;17;37;4;11
2;17;21;25;30;2;6
9;15;23;43;48;3;5
21;23;25;38;40;7;11
5;15;18;20;35;7;8
9;10;18;22;37;1;11
2;4;16;23;27;5;8
1;6;11;18;48;10;12
13;22;32;46;47;6;7
16;31;35;43;44;2;9
